sparql,template_name,variables,answer,question
"
SELECT ?zoning_label

WHERE {
        ?zoning :permitsUse ""manufacture and finishing"" .
        ?zoning rdfs:label ?zoning_label .
}
",template_use_1var_m_answer,{'use': 'manufacture and finishing'},['C4'],Which zoning districts permit manufacture and finishing?
"
SELECT ?zoning_label

WHERE {
        ?zoning :permitsUse ""manufacture and finishing"" .
        ?zoning rdfs:label ?zoning_label .
}
",template_use_1var_m_answer,{'use': 'manufacture and finishing'},['C4'],I would like to build manufacture and finishing.  Which zoning districts permits this use?
"
SELECT ?zoning_label

WHERE {
        ?zoning :permitsUse ""stadiums and arenas"" .
        ?zoning rdfs:label ?zoning_label .
}
",template_use_1var_m_answer,{'use': 'stadiums and arenas'},"['FI2', 'FI3']",Which zoning districts allow stadiums and arenas?
"
SELECT ?zoning_label

WHERE {
        ?zoning :permitsUse ""stadiums and arenas"" .
        ?zoning rdfs:label ?zoning_label .
}
",template_use_1var_m_answer,{'use': 'stadiums and arenas'},"['FI2', 'FI3']",Which zoning districts permit stadiums and arenas?
"
SELECT ?zoning_label

WHERE {
        ?zoning :permitsUse ""stadiums and arenas"" .
        ?zoning rdfs:label ?zoning_label .
}
",template_use_1var_m_answer,{'use': 'stadiums and arenas'},"['FI2', 'FI3']",I would like to build stadiums and arenas.  Which zoning districts permits this use?
"
SELECT ?zoning_label

WHERE {
        ?zoning :permitsUse ""building material supply sales (wholesale and retail)"" .
        ?zoning rdfs:label ?zoning_label .
}
",template_use_1var_m_answer,{'use': 'building material supply sales (wholesale and retail)'},"['C3', 'C4']",Which zoning districts allow building material supply sales (wholesale and retail)?
"
SELECT ?zoning_label

WHERE {
        ?zoning :permitsUse ""building material supply sales (wholesale and retail)"" .
        ?zoning rdfs:label ?zoning_label .
}
",template_use_1var_m_answer,{'use': 'building material supply sales (wholesale and retail)'},"['C3', 'C4']",Which zoning districts permit building material supply sales (wholesale and retail)?
"
SELECT ?zoning_label

WHERE {
        ?zoning :permitsUse ""building material supply sales (wholesale and retail)"" .
        ?zoning rdfs:label ?zoning_label .
}
",template_use_1var_m_answer,{'use': 'building material supply sales (wholesale and retail)'},"['C3', 'C4']",I would like to build building material supply sales (wholesale and retail).  Which zoning districts permits this use?
"
SELECT ?zoning_label

WHERE {
        ?zoning :permitsUse ""alcohol manufacturing"" .
        ?zoning rdfs:label ?zoning_label .
}
",template_use_1var_m_answer,{'use': 'alcohol manufacturing'},['FI3'],Which zoning districts allow alcohol manufacturing?
"
SELECT ?zoning_label

WHERE {
        ?zoning :permitsUse ""alcohol manufacturing"" .
        ?zoning rdfs:label ?zoning_label .
}
",template_use_1var_m_answer,{'use': 'alcohol manufacturing'},['FI3'],Which zoning districts permit alcohol manufacturing?
"
SELECT ?zoning_label

WHERE {
        ?zoning :permitsUse ""alcohol manufacturing"" .
        ?zoning rdfs:label ?zoning_label .
}
",template_use_1var_m_answer,{'use': 'alcohol manufacturing'},['FI3'],I would like to build alcohol manufacturing.  Which zoning districts permits this use?
"
SELECT ?zoning_label

WHERE {
        ?zoning :permitsUse ""minor automotive repair"" .
        ?zoning rdfs:label ?zoning_label .
}
",template_use_1var_m_answer,{'use': 'minor automotive repair'},"['C1', 'C2', 'C3', 'C4']",Which zoning districts allow minor automotive repair?
"
SELECT ?zoning_label

WHERE {
        ?zoning :permitsUse ""minor automotive repair"" .
        ?zoning rdfs:label ?zoning_label .
}
",template_use_1var_m_answer,{'use': 'minor automotive repair'},"['C1', 'C2', 'C3', 'C4']",Which zoning districts permit minor automotive repair?
"
SELECT ?zoning_label

WHERE {
        ?zoning :permitsUse ""minor automotive repair"" .
        ?zoning rdfs:label ?zoning_label .
}
",template_use_1var_m_answer,{'use': 'minor automotive repair'},"['C1', 'C2', 'C3', 'C4']",I would like to build minor automotive repair.  Which zoning districts permits this use?
"
SELECT ?zoning_label

WHERE {
        ?zoning :permitsUse ""self-storage warehouses"" .
        ?zoning rdfs:label ?zoning_label .
}
",template_use_1var_m_answer,{'use': 'self-storage warehouses'},"['C3', 'C4']",Which zoning districts allow self-storage warehouses?
"
SELECT ?zoning_label

WHERE {
        ?zoning :permitsUse ""self-storage warehouses"" .
        ?zoning rdfs:label ?zoning_label .
}
",template_use_1var_m_answer,{'use': 'self-storage warehouses'},"['C3', 'C4']",Which zoning districts permit self-storage warehouses?
"
SELECT ?zoning_label

WHERE {
        ?zoning :permitsUse ""self-storage warehouses"" .
        ?zoning rdfs:label ?zoning_label .
}
",template_use_1var_m_answer,{'use': 'self-storage warehouses'},"['C3', 'C4']",I would like to build self-storage warehouses.  Which zoning districts permits this use?
"
SELECT ?zoning_label

WHERE {
        ?zoning :permitsUse ""commercial printing and publishing"" .
        ?zoning rdfs:label ?zoning_label .
}
",template_use_1var_m_answer,{'use': 'commercial printing and publishing'},"['C3', 'C4']",Which zoning districts allow commercial printing and publishing?
"
SELECT ?zoning_label

WHERE {
        ?zoning :permitsUse ""commercial printing and publishing"" .
        ?zoning rdfs:label ?zoning_label .
}
",template_use_1var_m_answer,{'use': 'commercial printing and publishing'},"['C3', 'C4']",Which zoning districts permit commercial printing and publishing?
"
SELECT ?zoning_label

WHERE {
        ?zoning :permitsUse ""commercial printing and publishing"" .
        ?zoning rdfs:label ?zoning_label .
}
",template_use_1var_m_answer,{'use': 'commercial printing and publishing'},"['C3', 'C4']",I would like to build commercial printing and publishing.  Which zoning districts permits this use?
"
SELECT ?zoning_label

WHERE {
        ?zoning :permitsUse ""places of religious worship"" .
        ?zoning rdfs:label ?zoning_label .
}
",template_use_1var_m_answer,{'use': 'places of religious worship'},"['C1', 'C2', 'C3', 'C4', 'FI1', 'FI2', 'FI3']",Which zoning districts allow places of religious worship?
"
SELECT ?zoning_label

WHERE {
        ?zoning :permitsUse ""places of religious worship"" .
        ?zoning rdfs:label ?zoning_label .
}
",template_use_1var_m_answer,{'use': 'places of religious worship'},"['C1', 'C2', 'C3', 'C4', 'FI1', 'FI2', 'FI3']",Which zoning districts permit places of religious worship?
"
SELECT ?zoning_label

WHERE {
        ?zoning :permitsUse ""places of religious worship"" .
        ?zoning rdfs:label ?zoning_label .
}
",template_use_1var_m_answer,{'use': 'places of religious worship'},"['C1', 'C2', 'C3', 'C4', 'FI1', 'FI2', 'FI3']",I would like to build places of religious worship.  Which zoning districts permits this use?
"
SELECT ?zoning_label

WHERE {
        ?zoning :permitsUse ""family and group day care facilities"" .
        ?zoning rdfs:label ?zoning_label .
}
",template_use_1var_m_answer,{'use': 'family and group day care facilities'},"['C1', 'C2', 'C3', 'C4']",Which zoning districts allow family and group day care facilities?
"
SELECT ?zoning_label

WHERE {
        ?zoning :permitsUse ""family and group day care facilities"" .
        ?zoning rdfs:label ?zoning_label .
}
",template_use_1var_m_answer,{'use': 'family and group day care facilities'},"['C1', 'C2', 'C3', 'C4']",Which zoning districts permit family and group day care facilities?
"
SELECT ?zoning_label

WHERE {
        ?zoning :permitsUse ""family and group day care facilities"" .
        ?zoning rdfs:label ?zoning_label .
}
",template_use_1var_m_answer,{'use': 'family and group day care facilities'},"['C1', 'C2', 'C3', 'C4']",I would like to build family and group day care facilities.  Which zoning districts permits this use?
"
SELECT ?zoning_label

WHERE {
        ?zoning :permitsUse ""commercial bakeries"" .
        ?zoning rdfs:label ?zoning_label .
}
",template_use_1var_m_answer,{'use': 'commercial bakeries'},['C4'],Which zoning districts allow commercial bakeries?
"
SELECT ?zoning_label

WHERE {
        ?zoning :permitsUse ""commercial bakeries"" .
        ?zoning rdfs:label ?zoning_label .
}
",template_use_1var_m_answer,{'use': 'commercial bakeries'},['C4'],Which zoning districts permit commercial bakeries?
"
SELECT ?zoning_label

WHERE {
        ?zoning :permitsUse ""commercial bakeries"" .
        ?zoning rdfs:label ?zoning_label .
}
",template_use_1var_m_answer,{'use': 'commercial bakeries'},['C4'],I would like to build commercial bakeries.  Which zoning districts permits this use?
"
SELECT ?zoning_label

WHERE {
        ?zoning :permitsUse ""temporary buildings"" .
        ?zoning rdfs:label ?zoning_label .
}
",template_use_1var_m_answer,{'use': 'temporary buildings'},"['R1', 'R2', 'R3']",Which zoning districts allow temporary buildings?
"
SELECT ?zoning_label

WHERE {
        ?zoning :permitsUse ""temporary buildings"" .
        ?zoning rdfs:label ?zoning_label .
}
",template_use_1var_m_answer,{'use': 'temporary buildings'},"['R1', 'R2', 'R3']",Which zoning districts permit temporary buildings?
"
SELECT ?zoning_label

WHERE {
        ?zoning :permitsUse ""temporary buildings"" .
        ?zoning rdfs:label ?zoning_label .
}
",template_use_1var_m_answer,{'use': 'temporary buildings'},"['R1', 'R2', 'R3']",I would like to build temporary buildings.  Which zoning districts permits this use?
"
SELECT ?zoning_label

WHERE {
        ?zoning :permitsUse ""public libraries"" .
        ?zoning rdfs:label ?zoning_label .
}
",template_use_1var_m_answer,{'use': 'public libraries'},"['R1', 'R2', 'R3']",Which zoning districts allow public libraries?
"
SELECT ?zoning_label

WHERE {
        ?zoning :permitsUse ""public libraries"" .
        ?zoning rdfs:label ?zoning_label .
}
",template_use_1var_m_answer,{'use': 'public libraries'},"['R1', 'R2', 'R3']",Which zoning districts permit public libraries?
"
SELECT ?zoning_label

WHERE {
        ?zoning :permitsUse ""public libraries"" .
        ?zoning rdfs:label ?zoning_label .
}
",template_use_1var_m_answer,{'use': 'public libraries'},"['R1', 'R2', 'R3']",I would like to build public libraries.  Which zoning districts permits this use?
"
SELECT ?zoning_label

WHERE {
        ?zoning :permitsUse ""publicly owned and operated parks"" .
        ?zoning rdfs:label ?zoning_label .
}
",template_use_1var_m_answer,{'use': 'publicly owned and operated parks'},"['R1', 'R2', 'R3']",Which zoning districts allow publicly owned and operated parks?
"
SELECT ?zoning_label

WHERE {
        ?zoning :permitsUse ""publicly owned and operated parks"" .
        ?zoning rdfs:label ?zoning_label .
}
",template_use_1var_m_answer,{'use': 'publicly owned and operated parks'},"['R1', 'R2', 'R3']",Which zoning districts permit publicly owned and operated parks?
"
SELECT ?zoning_label

WHERE {
        ?zoning :permitsUse ""publicly owned and operated parks"" .
        ?zoning rdfs:label ?zoning_label .
}
",template_use_1var_m_answer,{'use': 'publicly owned and operated parks'},"['R1', 'R2', 'R3']",I would like to build publicly owned and operated parks.  Which zoning districts permits this use?
"
SELECT ?zoning_label

WHERE {
        ?zoning :permitsUse ""storage yards"" .
        ?zoning rdfs:label ?zoning_label .
}
",template_use_1var_m_answer,{'use': 'storage yards'},['C4'],Which zoning districts allow storage yards?
"
SELECT ?zoning_label

WHERE {
        ?zoning :permitsUse ""storage yards"" .
        ?zoning rdfs:label ?zoning_label .
}
",template_use_1var_m_answer,{'use': 'storage yards'},['C4'],Which zoning districts permit storage yards?
"
SELECT ?zoning_label

WHERE {
        ?zoning :permitsUse ""storage yards"" .
        ?zoning rdfs:label ?zoning_label .
}
",template_use_1var_m_answer,{'use': 'storage yards'},['C4'],I would like to build storage yards.  Which zoning districts permits this use?
"
SELECT ?zoning_label

WHERE {
        ?zoning :permitsUse ""petroleum refining"" .
        ?zoning rdfs:label ?zoning_label .
}
",template_use_1var_m_answer,{'use': 'petroleum refining'},['FI3'],Which zoning districts allow petroleum refining?
"
SELECT ?zoning_label

WHERE {
        ?zoning :permitsUse ""petroleum refining"" .
        ?zoning rdfs:label ?zoning_label .
}
",template_use_1var_m_answer,{'use': 'petroleum refining'},['FI3'],Which zoning districts permit petroleum refining?
"
SELECT ?zoning_label

WHERE {
        ?zoning :permitsUse ""petroleum refining"" .
        ?zoning rdfs:label ?zoning_label .
}
",template_use_1var_m_answer,{'use': 'petroleum refining'},['FI3'],I would like to build petroleum refining.  Which zoning districts permits this use?
"
SELECT ?zoning_label

WHERE {
        ?zoning :permitsUse ""libraries"" .
        ?zoning rdfs:label ?zoning_label .
}
",template_use_1var_m_answer,{'use': 'libraries'},"['C1', 'C2', 'C3', 'C4']",Which zoning districts allow libraries?
"
SELECT ?zoning_label

WHERE {
        ?zoning :permitsUse ""libraries"" .
        ?zoning rdfs:label ?zoning_label .
}
",template_use_1var_m_answer,{'use': 'libraries'},"['C1', 'C2', 'C3', 'C4']",Which zoning districts permit libraries?
"
SELECT ?zoning_label

WHERE {
        ?zoning :permitsUse ""libraries"" .
        ?zoning rdfs:label ?zoning_label .
}
",template_use_1var_m_answer,{'use': 'libraries'},"['C1', 'C2', 'C3', 'C4']",I would like to build libraries.  Which zoning districts permits this use?
"
SELECT ?zoning_label

WHERE {
        ?zoning :permitsUse ""wood products manufacturing and finishing"" .
        ?zoning rdfs:label ?zoning_label .
}
",template_use_1var_m_answer,{'use': 'wood products manufacturing and finishing'},['C4'],Which zoning districts allow wood products manufacturing and finishing?
"
SELECT ?zoning_label

WHERE {
        ?zoning :permitsUse ""wood products manufacturing and finishing"" .
        ?zoning rdfs:label ?zoning_label .
}
",template_use_1var_m_answer,{'use': 'wood products manufacturing and finishing'},['C4'],Which zoning districts permit wood products manufacturing and finishing?
"
SELECT ?zoning_label

WHERE {
        ?zoning :permitsUse ""wood products manufacturing and finishing"" .
        ?zoning rdfs:label ?zoning_label .
}
",template_use_1var_m_answer,{'use': 'wood products manufacturing and finishing'},['C4'],I would like to build wood products manufacturing and finishing.  Which zoning districts permits this use?
"
SELECT ?zoning_label

WHERE {
        ?zoning :permitsUse ""taverns and cocktail lounges"" .
        ?zoning rdfs:label ?zoning_label .
}
",template_use_1var_m_answer,{'use': 'taverns and cocktail lounges'},"['C3', 'C4']",Which zoning districts allow taverns and cocktail lounges?
"
SELECT ?zoning_label

WHERE {
        ?zoning :permitsUse ""taverns and cocktail lounges"" .
        ?zoning rdfs:label ?zoning_label .
}
",template_use_1var_m_answer,{'use': 'taverns and cocktail lounges'},"['C3', 'C4']",Which zoning districts permit taverns and cocktail lounges?
"
SELECT ?zoning_label

WHERE {
        ?zoning :permitsUse ""taverns and cocktail lounges"" .
        ?zoning rdfs:label ?zoning_label .
}
",template_use_1var_m_answer,{'use': 'taverns and cocktail lounges'},"['C3', 'C4']",I would like to build taverns and cocktail lounges.  Which zoning districts permits this use?
"
SELECT ?zoning_label

WHERE {
        ?zoning :permitsUse ""small metal products design, casting, fabricating, and processing"" .
        ?zoning rdfs:label ?zoning_label .
}
",template_use_1var_m_answer,"{'use': 'small metal products design, casting, fabricating, and processing'}",['C4'],"Which zoning districts allow small metal products design, casting, fabricating, and processing?"
"
SELECT ?zoning_label

WHERE {
        ?zoning :permitsUse ""small metal products design, casting, fabricating, and processing"" .
        ?zoning rdfs:label ?zoning_label .
}
",template_use_1var_m_answer,"{'use': 'small metal products design, casting, fabricating, and processing'}",['C4'],"Which zoning districts permit small metal products design, casting, fabricating, and processing?"
"
SELECT ?zoning_label

WHERE {
        ?zoning :permitsUse ""small metal products design, casting, fabricating, and processing"" .
        ?zoning rdfs:label ?zoning_label .
}
",template_use_1var_m_answer,"{'use': 'small metal products design, casting, fabricating, and processing'}",['C4'],"I would like to build small metal products design, casting, fabricating, and processing.  Which zoning districts permits this use?"
"
SELECT ?zoning_label

WHERE {
        ?zoning :permitsUse ""cotton gins"" .
        ?zoning rdfs:label ?zoning_label .
}
",template_use_1var_m_answer,{'use': 'cotton gins'},['FI3'],Which zoning districts allow cotton gins?
"
SELECT ?zoning_label

WHERE {
        ?zoning :permitsUse ""cotton gins"" .
        ?zoning rdfs:label ?zoning_label .
}
",template_use_1var_m_answer,{'use': 'cotton gins'},['FI3'],Which zoning districts permit cotton gins?
"
SELECT ?zoning_label

WHERE {
        ?zoning :permitsUse ""cotton gins"" .
        ?zoning rdfs:label ?zoning_label .
}
",template_use_1var_m_answer,{'use': 'cotton gins'},['FI3'],I would like to build cotton gins.  Which zoning districts permits this use?
"
SELECT ?zoning_label

WHERE {
        ?zoning :permitsUse ""monument works"" .
        ?zoning rdfs:label ?zoning_label .
}
",template_use_1var_m_answer,{'use': 'monument works'},"['FI2', 'FI3']",Which zoning districts allow monument works?
"
SELECT ?zoning_label

WHERE {
        ?zoning :permitsUse ""monument works"" .
        ?zoning rdfs:label ?zoning_label .
}
",template_use_1var_m_answer,{'use': 'monument works'},"['FI2', 'FI3']",Which zoning districts permit monument works?
"
SELECT ?zoning_label

WHERE {
        ?zoning :permitsUse ""monument works"" .
        ?zoning rdfs:label ?zoning_label .
}
",template_use_1var_m_answer,{'use': 'monument works'},"['FI2', 'FI3']",I would like to build monument works.  Which zoning districts permits this use?
"
SELECT ?zoning_label

WHERE {
        ?zoning :permitsUse ""physical fitness centers"" .
        ?zoning rdfs:label ?zoning_label .
}
",template_use_1var_m_answer,{'use': 'physical fitness centers'},"['C2', 'C3', 'C4']",Which zoning districts allow physical fitness centers?
"
SELECT ?zoning_label

WHERE {
        ?zoning :permitsUse ""physical fitness centers"" .
        ?zoning rdfs:label ?zoning_label .
}
",template_use_1var_m_answer,{'use': 'physical fitness centers'},"['C2', 'C3', 'C4']",Which zoning districts permit physical fitness centers?
"
SELECT ?zoning_label

WHERE {
        ?zoning :permitsUse ""physical fitness centers"" .
        ?zoning rdfs:label ?zoning_label .
}
",template_use_1var_m_answer,{'use': 'physical fitness centers'},"['C2', 'C3', 'C4']",I would like to build physical fitness centers.  Which zoning districts permits this use?
"
SELECT ?zoning_label

WHERE {
        ?zoning :permitsUse ""auto body shops"" .
        ?zoning rdfs:label ?zoning_label .
}
",template_use_1var_m_answer,{'use': 'auto body shops'},"['FI1', 'FI2', 'FI3']",Which zoning districts allow auto body shops?
"
SELECT ?zoning_label

WHERE {
        ?zoning :permitsUse ""auto body shops"" .
        ?zoning rdfs:label ?zoning_label .
}
",template_use_1var_m_answer,{'use': 'auto body shops'},"['FI1', 'FI2', 'FI3']",Which zoning districts permit auto body shops?
"
SELECT ?zoning_label

WHERE {
        ?zoning :permitsUse ""auto body shops"" .
        ?zoning rdfs:label ?zoning_label .
}
",template_use_1var_m_answer,{'use': 'auto body shops'},"['FI1', 'FI2', 'FI3']",I would like to build auto body shops.  Which zoning districts permits this use?
"
SELECT ?zoning_label

WHERE {
        ?zoning :permitsUse ""business services"" .
        ?zoning rdfs:label ?zoning_label .
}
",template_use_1var_m_answer,{'use': 'business services'},"['C1', 'C2', 'C3', 'C4']",Which zoning districts allow business services?
"
SELECT ?zoning_label

WHERE {
        ?zoning :permitsUse ""business services"" .
        ?zoning rdfs:label ?zoning_label .
}
",template_use_1var_m_answer,{'use': 'business services'},"['C1', 'C2', 'C3', 'C4']",Which zoning districts permit business services?
"
SELECT ?zoning_label

WHERE {
        ?zoning :permitsUse ""business services"" .
        ?zoning rdfs:label ?zoning_label .
}
",template_use_1var_m_answer,{'use': 'business services'},"['C1', 'C2', 'C3', 'C4']",I would like to build business services.  Which zoning districts permits this use?
"
SELECT ?zoning_label

WHERE {
        ?zoning :permitsUse ""buildings accessory to the permitted uses (including private garages and accessory living quarters)"" .
        ?zoning rdfs:label ?zoning_label .
}
",template_use_1var_m_answer,{'use': 'buildings accessory to the permitted uses (including private garages and accessory living quarters)'},"['R1', 'R2', 'R3']",Which zoning districts allow buildings accessory to the permitted uses (including private garages and accessory living quarters)?
"
SELECT ?zoning_label

WHERE {
        ?zoning :permitsUse ""buildings accessory to the permitted uses (including private garages and accessory living quarters)"" .
        ?zoning rdfs:label ?zoning_label .
}
",template_use_1var_m_answer,{'use': 'buildings accessory to the permitted uses (including private garages and accessory living quarters)'},"['R1', 'R2', 'R3']",Which zoning districts permit buildings accessory to the permitted uses (including private garages and accessory living quarters)?
"
SELECT ?zoning_label

WHERE {
        ?zoning :permitsUse ""buildings accessory to the permitted uses (including private garages and accessory living quarters)"" .
        ?zoning rdfs:label ?zoning_label .
}
",template_use_1var_m_answer,{'use': 'buildings accessory to the permitted uses (including private garages and accessory living quarters)'},"['R1', 'R2', 'R3']",I would like to build buildings accessory to the permitted uses (including private garages and accessory living quarters).  Which zoning districts permits this use?
"
SELECT ?zoning_label

WHERE {
        ?zoning :permitsUse ""regional recycling center"" .
        ?zoning rdfs:label ?zoning_label .
}
",template_use_1var_m_answer,{'use': 'regional recycling center'},"['FI2', 'FI3']",Which zoning districts allow regional recycling center?
"
SELECT ?zoning_label

WHERE {
        ?zoning :permitsUse ""regional recycling center"" .
        ?zoning rdfs:label ?zoning_label .
}
",template_use_1var_m_answer,{'use': 'regional recycling center'},"['FI2', 'FI3']",Which zoning districts permit regional recycling center?
"
SELECT ?zoning_label

WHERE {
        ?zoning :permitsUse ""regional recycling center"" .
        ?zoning rdfs:label ?zoning_label .
}
",template_use_1var_m_answer,{'use': 'regional recycling center'},"['FI2', 'FI3']",I would like to build regional recycling center.  Which zoning districts permits this use?
"
SELECT ?zoning_label

WHERE {
        ?zoning :permitsUse ""research or testing laboratories"" .
        ?zoning rdfs:label ?zoning_label .
}
",template_use_1var_m_answer,{'use': 'research or testing laboratories'},"['FI1', 'FI2', 'FI3']",Which zoning districts allow research or testing laboratories?
"
SELECT ?zoning_label

WHERE {
        ?zoning :permitsUse ""research or testing laboratories"" .
        ?zoning rdfs:label ?zoning_label .
}
",template_use_1var_m_answer,{'use': 'research or testing laboratories'},"['FI1', 'FI2', 'FI3']",Which zoning districts permit research or testing laboratories?
"
SELECT ?zoning_label

WHERE {
        ?zoning :permitsUse ""research or testing laboratories"" .
        ?zoning rdfs:label ?zoning_label .
}
",template_use_1var_m_answer,{'use': 'research or testing laboratories'},"['FI1', 'FI2', 'FI3']",I would like to build research or testing laboratories.  Which zoning districts permits this use?
"
SELECT ?zoning_label

WHERE {
        ?zoning :permitsUse ""public and governmental services"" .
        ?zoning rdfs:label ?zoning_label .
}
",template_use_1var_m_answer,{'use': 'public and governmental services'},"['R1', 'R2', 'R3', 'C1', 'C2', 'C3', 'C4', 'FI1', 'FI2', 'FI3']",Which zoning districts allow public and governmental services?
"
SELECT ?zoning_label

WHERE {
        ?zoning :permitsUse ""public and governmental services"" .
        ?zoning rdfs:label ?zoning_label .
}
",template_use_1var_m_answer,{'use': 'public and governmental services'},"['R1', 'R2', 'R3', 'C1', 'C2', 'C3', 'C4', 'FI1', 'FI2', 'FI3']",Which zoning districts permit public and governmental services?
"
SELECT ?zoning_label

WHERE {
        ?zoning :permitsUse ""public and governmental services"" .
        ?zoning rdfs:label ?zoning_label .
}
",template_use_1var_m_answer,{'use': 'public and governmental services'},"['R1', 'R2', 'R3', 'C1', 'C2', 'C3', 'C4', 'FI1', 'FI2', 'FI3']",I would like to build public and governmental services.  Which zoning districts permits this use?
"
SELECT ?zoning_label

WHERE {
        ?zoning :permitsUse ""convenience and neighborhood commercial centers (excluding wholesale sales)"" .
        ?zoning rdfs:label ?zoning_label .
}
",template_use_1var_m_answer,{'use': 'convenience and neighborhood commercial centers (excluding wholesale sales)'},"['C1', 'C2', 'C3', 'C4']",Which zoning districts allow convenience and neighborhood commercial centers (excluding wholesale sales)?
"
SELECT ?zoning_label

WHERE {
        ?zoning :permitsUse ""convenience and neighborhood commercial centers (excluding wholesale sales)"" .
        ?zoning rdfs:label ?zoning_label .
}
",template_use_1var_m_answer,{'use': 'convenience and neighborhood commercial centers (excluding wholesale sales)'},"['C1', 'C2', 'C3', 'C4']",Which zoning districts permit convenience and neighborhood commercial centers (excluding wholesale sales)?
"
SELECT ?zoning_label

WHERE {
        ?zoning :permitsUse ""convenience and neighborhood commercial centers (excluding wholesale sales)"" .
        ?zoning rdfs:label ?zoning_label .
}
",template_use_1var_m_answer,{'use': 'convenience and neighborhood commercial centers (excluding wholesale sales)'},"['C1', 'C2', 'C3', 'C4']",I would like to build convenience and neighborhood commercial centers (excluding wholesale sales).  Which zoning districts permits this use?
"
SELECT ?zoning_label

WHERE {
        ?zoning :permitsUse ""furniture assembly"" .
        ?zoning rdfs:label ?zoning_label .
}
",template_use_1var_m_answer,{'use': 'furniture assembly'},"['FI1', 'FI2', 'FI3']",Which zoning districts allow furniture assembly?
"
SELECT ?zoning_label

WHERE {
        ?zoning :permitsUse ""furniture assembly"" .
        ?zoning rdfs:label ?zoning_label .
}
",template_use_1var_m_answer,{'use': 'furniture assembly'},"['FI1', 'FI2', 'FI3']",Which zoning districts permit furniture assembly?
"
SELECT ?zoning_label

WHERE {
        ?zoning :permitsUse ""furniture assembly"" .
        ?zoning rdfs:label ?zoning_label .
}
",template_use_1var_m_answer,{'use': 'furniture assembly'},"['FI1', 'FI2', 'FI3']",I would like to build furniture assembly.  Which zoning districts permits this use?
"
SELECT ?zoning_label

WHERE {
        ?zoning :permitsUse ""automotive sales"" .
        ?zoning rdfs:label ?zoning_label .
}
",template_use_1var_m_answer,{'use': 'automotive sales'},"['C3', 'C4']",Which zoning districts allow automotive sales?
"
SELECT ?zoning_label

WHERE {
        ?zoning :permitsUse ""automotive sales"" .
        ?zoning rdfs:label ?zoning_label .
}
",template_use_1var_m_answer,{'use': 'automotive sales'},"['C3', 'C4']",Which zoning districts permit automotive sales?
