question,document_identifier,question_identifier
Are regional commercial centers (including wholesale and retail sales) allowed in a C4 zoning district?,id9,qid531
Are regional commercial centers (including wholesale and retail sales) permitted in a C4 zoning district?,id9,qid532
Are plastic product design molding and assembly allowed in a C4 zoning district?,id9,qid533
Are plastic product design molding and assembly permitted in a C4 zoning district?,id9,qid534
Are small metal products design casting fabricating and processing allowed in a C4 zoning district?,id9,qid535
Are small metal products design casting fabricating and processing permitted in a C4 zoning district?,id9,qid536
Are manufacture and finishing allowed in a C4 zoning district?,id9,qid537
Are manufacture and finishing permitted in a C4 zoning district?,id9,qid538
Are storage yards allowed in a C4 zoning district?,id9,qid539
Are storage yards permitted in a C4 zoning district?,id9,qid540
Are wood products manufacturing and finishing allowed in a C4 zoning district?,id9,qid541
Are wood products manufacturing and finishing permitted in a C4 zoning district?,id9,qid542
Are warehouses allowed in a FI1 zoning district?,id9,qid543
Are warehouses permitted in a FI1 zoning district?,id9,qid544
Are warehouses allowed in a FI2 zoning district?,id9,qid545
Are warehouses permitted in a FI2 zoning district?,id9,qid546
Are warehouses allowed in a FI3 zoning district?,id9,qid547
Are warehouses permitted in a FI3 zoning district?,id9,qid548
Are research or testing laboratories allowed in a FI1 zoning district?,id9,qid549
Are research or testing laboratories permitted in a FI1 zoning district?,id9,qid550
Are research or testing laboratories allowed in a FI2 zoning district?,id9,qid551
Are research or testing laboratories permitted in a FI2 zoning district?,id9,qid552
Are research or testing laboratories allowed in a FI3 zoning district?,id9,qid553
Are research or testing laboratories permitted in a FI3 zoning district?,id9,qid554
Are product distribution centers allowed in a FI1 zoning district?,id9,qid555
Are product distribution centers permitted in a FI1 zoning district?,id9,qid556
Are product distribution centers allowed in a FI2 zoning district?,id9,qid557
Are product distribution centers permitted in a FI2 zoning district?,id9,qid558
Are product distribution centers allowed in a FI3 zoning district?,id9,qid559
Are product distribution centers permitted in a FI3 zoning district?,id9,qid560
Are woodworking shops allowed in a FI1 zoning district?,id9,qid561
Are woodworking shops permitted in a FI1 zoning district?,id9,qid562
Are woodworking shops allowed in a FI2 zoning district?,id9,qid563
Are woodworking shops permitted in a FI2 zoning district?,id9,qid564
Are woodworking shops allowed in a FI3 zoning district?,id9,qid565
Are woodworking shops permitted in a FI3 zoning district?,id9,qid566
Are auto body shops allowed in a FI1 zoning district?,id9,qid567
Are auto body shops permitted in a FI1 zoning district?,id9,qid568
Are auto body shops allowed in a FI2 zoning district?,id9,qid569
Are auto body shops permitted in a FI2 zoning district?,id9,qid570
Are auto body shops allowed in a FI3 zoning district?,id9,qid571
Are auto body shops permitted in a FI3 zoning district?,id9,qid572
Are furniture assembly allowed in a FI1 zoning district?,id9,qid573
Are furniture assembly permitted in a FI1 zoning district?,id9,qid574
Are furniture assembly allowed in a FI2 zoning district?,id9,qid575
Are furniture assembly permitted in a FI2 zoning district?,id9,qid576
Are furniture assembly allowed in a FI3 zoning district?,id9,qid577
Are furniture assembly permitted in a FI3 zoning district?,id9,qid578
Are dry cleaning plants allowed in a FI1 zoning district?,id9,qid579
Are dry cleaning plants permitted in a FI1 zoning district?,id9,qid580
Are dry cleaning plants allowed in a FI2 zoning district?,id9,qid581
Are dry cleaning plants permitted in a FI2 zoning district?,id9,qid582
Are dry cleaning plants allowed in a FI3 zoning district?,id9,qid583
Are dry cleaning plants permitted in a FI3 zoning district?,id9,qid584
Are machine shops allowed in a FI1 zoning district?,id9,qid585
Are machine shops permitted in a FI1 zoning district?,id9,qid586
Are machine shops allowed in a FI2 zoning district?,id9,qid587
Are machine shops permitted in a FI2 zoning district?,id9,qid588
Are machine shops allowed in a FI3 zoning district?,id9,qid589
Are machine shops permitted in a FI3 zoning district?,id9,qid590
Are boat storage yards allowed in a FI1 zoning district?,id9,qid591
Are boat storage yards permitted in a FI1 zoning district?,id9,qid592
Are boat storage yards allowed in a FI2 zoning district?,id9,qid593
Are boat storage yards permitted in a FI2 zoning district?,id9,qid594
Are boat storage yards allowed in a FI3 zoning district?,id9,qid595
Are boat storage yards permitted in a FI3 zoning district?,id9,qid596
Are stadiums and arenas allowed in a FI2 zoning district?,id9,qid597
Are stadiums and arenas permitted in a FI2 zoning district?,id9,qid598
Are stadiums and arenas allowed in a FI3 zoning district?,id9,qid599
Are stadiums and arenas permitted in a FI3 zoning district?,id9,qid600
Are indoor swap meets allowed in a FI2 zoning district?,id9,qid601
Are indoor swap meets permitted in a FI2 zoning district?,id9,qid602
Are indoor swap meets allowed in a FI3 zoning district?,id9,qid603
Are indoor swap meets permitted in a FI3 zoning district?,id9,qid604
Are breweries allowed in a FI2 zoning district?,id9,qid605
Are breweries permitted in a FI2 zoning district?,id9,qid606
Are breweries allowed in a FI3 zoning district?,id9,qid607
Are breweries permitted in a FI3 zoning district?,id9,qid608
Are liquid fertilizer manufacturing allowed in a FI2 zoning district?,id9,qid609
Are liquid fertilizer manufacturing permitted in a FI2 zoning district?,id9,qid610
Are liquid fertilizer manufacturing allowed in a FI3 zoning district?,id9,qid611
Are liquid fertilizer manufacturing permitted in a FI3 zoning district?,id9,qid612
Are carpet manufacturing allowed in a FI2 zoning district?,id9,qid613
Are carpet manufacturing permitted in a FI2 zoning district?,id9,qid614
Are carpet manufacturing allowed in a FI3 zoning district?,id9,qid615
Are carpet manufacturing permitted in a FI3 zoning district?,id9,qid616
Are monument works allowed in a FI2 zoning district?,id9,qid617
Are monument works permitted in a FI2 zoning district?,id9,qid618
Are monument works allowed in a FI3 zoning district?,id9,qid619
Are monument works permitted in a FI3 zoning district?,id9,qid620
Are regional recycling center allowed in a FI2 zoning district?,id9,qid621
Are regional recycling center permitted in a FI2 zoning district?,id9,qid622
Are regional recycling center allowed in a FI3 zoning district?,id9,qid623
Are regional recycling center permitted in a FI3 zoning district?,id9,qid624
Are auto-dismantling yards allowed in a FI3 zoning district?,id9,qid625
Are auto-dismantling yards permitted in a FI3 zoning district?,id9,qid626
Are alcohol manufacturing allowed in a FI3 zoning district?,id9,qid627
Are alcohol manufacturing permitted in a FI3 zoning district?,id9,qid628
Are cotton gins allowed in a FI3 zoning district?,id9,qid629
Are cotton gins permitted in a FI3 zoning district?,id9,qid630
Are paper manufacturing allowed in a FI3 zoning district?,id9,qid631
Are paper manufacturing permitted in a FI3 zoning district?,id9,qid632
Are quarries allowed in a FI3 zoning district?,id9,qid633
Are quarries permitted in a FI3 zoning district?,id9,qid634
Are salt works allowed in a FI3 zoning district?,id9,qid635
Are salt works permitted in a FI3 zoning district?,id9,qid636
Are petroleum refining allowed in a FI3 zoning district?,id9,qid637
Are petroleum refining permitted in a FI3 zoning district?,id9,qid638
What is the minimum lot size in the R1b zoning district?,id9,qid639
What is the maximum density in the R1b zoning district?,id9,qid640
What is the minimum lot width in the R1b zoning district?,id9,qid641
What is the minimum lot depth in the R1b zoning district?,id9,qid642
What is the minimum front setback in the R1b zoning district?,id9,qid643
What is the minimum side setback in the R1b zoning district?,id9,qid644
What is the minimum rear setback in the R1b zoning district?,id9,qid645
What is the maximum building height in the R1b zoning district?,id9,qid646
What is the minimum lot size in the C2 zoning district?,id9,qid647
What is the maximum density in the C2 zoning district?,id9,qid648
What is the minimum lot width in the C2 zoning district?,id9,qid649
What is the minimum lot depth in the C2 zoning district?,id9,qid650
What is the minimum front setback in the C2 zoning district?,id9,qid651
What is the minimum side setback in the C2 zoning district?,id9,qid652
What is the minimum rear setback in the C2 zoning district?,id9,qid653
What is the maximum building height in the C2 zoning district?,id9,qid654
What is the minimum lot size in the A1 zoning district?,id9,qid655
What is the maximum density in the A1 zoning district?,id9,qid656
What is the minimum lot width in the A1 zoning district?,id9,qid657
What is the minimum lot depth in the A1 zoning district?,id9,qid658
What is the minimum front setback in the A1 zoning district?,id9,qid659
What is the minimum side setback in the A1 zoning district?,id9,qid660
What is the minimum rear setback in the A1 zoning district?,id9,qid661
What is the maximum building height in the A1 zoning district?,id9,qid662
What is the minimum lot size in the R3a zoning district?,id9,qid663
What is the maximum density in the R3a zoning district?,id9,qid664
What is the minimum lot width in the R3a zoning district?,id9,qid665
What is the minimum lot depth in the R3a zoning district?,id9,qid666
What is the minimum front setback in the R3a zoning district?,id9,qid667
What is the minimum side setback in the R3a zoning district?,id9,qid668
What is the minimum rear setback in the R3a zoning district?,id9,qid669
What is the maximum building height in the R3a zoning district?,id9,qid670
What is the minimum lot size in the A2 zoning district?,id9,qid671
What is the maximum density in the A2 zoning district?,id9,qid672
What is the minimum lot width in the A2 zoning district?,id9,qid673
What is the minimum lot depth in the A2 zoning district?,id9,qid674
What is the minimum front setback in the A2 zoning district?,id9,qid675
What is the minimum side setback in the A2 zoning district?,id9,qid676
What is the minimum rear setback in the A2 zoning district?,id9,qid677
What is the maximum building height in the A2 zoning district?,id9,qid678
What is the minimum lot size in the R1c zoning district?,id9,qid679
What is the maximum density in the R1c zoning district?,id9,qid680
What is the minimum lot width in the R1c zoning district?,id9,qid681
What is the minimum lot depth in the R1c zoning district?,id9,qid682
What is the minimum front setback in the R1c zoning district?,id9,qid683
What is the minimum side setback in the R1c zoning district?,id9,qid684
What is the minimum rear setback in the R1c zoning district?,id9,qid685
What is the maximum building height in the R1c zoning district?,id9,qid686
What is the minimum lot size in the R1d zoning district?,id9,qid687
What is the maximum density in the R1d zoning district?,id9,qid688
What is the minimum lot width in the R1d zoning district?,id9,qid689
What is the minimum lot depth in the R1d zoning district?,id9,qid690
What is the minimum front setback in the R1d zoning district?,id9,qid691
What is the minimum side setback in the R1d zoning district?,id9,qid692
What is the minimum rear setback in the R1d zoning district?,id9,qid693
What is the maximum building height in the R1d zoning district?,id9,qid694
What is the minimum lot size in the C4 zoning district?,id9,qid695
What is the maximum density in the C4 zoning district?,id9,qid696
What is the minimum lot width in the C4 zoning district?,id9,qid697
What is the minimum lot depth in the C4 zoning district?,id9,qid698
What is the minimum front setback in the C4 zoning district?,id9,qid699
What is the minimum side setback in the C4 zoning district?,id9,qid700
What is the minimum rear setback in the C4 zoning district?,id9,qid701
What is the maximum building height in the C4 zoning district?,id9,qid702
What is the minimum lot size in the C1 zoning district?,id9,qid703
What is the maximum density in the C1 zoning district?,id9,qid704
What is the minimum lot width in the C1 zoning district?,id9,qid705
What is the minimum lot depth in the C1 zoning district?,id9,qid706
What is the minimum front setback in the C1 zoning district?,id9,qid707
What is the minimum side setback in the C1 zoning district?,id9,qid708
What is the minimum rear setback in the C1 zoning district?,id9,qid709
What is the maximum building height in the C1 zoning district?,id9,qid710
What is the minimum lot size in the FI1 zoning district?,id9,qid711
What is the maximum density in the FI1 zoning district?,id9,qid712
What is the minimum lot width in the FI1 zoning district?,id9,qid713
What is the minimum lot depth in the FI1 zoning district?,id9,qid714
What is the minimum front setback in the FI1 zoning district?,id9,qid715
What is the minimum side setback in the FI1 zoning district?,id9,qid716
What is the minimum rear setback in the FI1 zoning district?,id9,qid717
What is the maximum building height in the FI1 zoning district?,id9,qid718
What is the minimum lot size in the R1a zoning district?,id9,qid719
What is the maximum density in the R1a zoning district?,id9,qid720
What is the minimum lot width in the R1a zoning district?,id9,qid721
What is the minimum lot depth in the R1a zoning district?,id9,qid722
What is the minimum front setback in the R1a zoning district?,id9,qid723
What is the minimum side setback in the R1a zoning district?,id9,qid724
What is the minimum rear setback in the R1a zoning district?,id9,qid725
What is the maximum building height in the R1a zoning district?,id9,qid726
What is the minimum lot size in the FI2 zoning district?,id9,qid727
What is the maximum density in the FI2 zoning district?,id9,qid728
What is the minimum lot width in the FI2 zoning district?,id9,qid729
What is the minimum lot depth in the FI2 zoning district?,id9,qid730
What is the minimum front setback in the FI2 zoning district?,id9,qid731
What is the minimum side setback in the FI2 zoning district?,id9,qid732
What is the minimum rear setback in the FI2 zoning district?,id9,qid733
What is the maximum building height in the FI2 zoning district?,id9,qid734
What is the minimum lot size in the FI3 zoning district?,id9,qid735
What is the maximum density in the FI3 zoning district?,id9,qid736
What is the minimum lot width in the FI3 zoning district?,id9,qid737
What is the minimum lot depth in the FI3 zoning district?,id9,qid738
What is the minimum front setback in the FI3 zoning district?,id9,qid739
What is the minimum side setback in the FI3 zoning district?,id9,qid740
What is the minimum rear setback in the FI3 zoning district?,id9,qid741
What is the maximum building height in the FI3 zoning district?,id9,qid742
What is the minimum lot size in the R2a zoning district?,id9,qid743
What is the maximum density in the R2a zoning district?,id9,qid744
What is the minimum lot width in the R2a zoning district?,id9,qid745
What is the minimum lot depth in the R2a zoning district?,id9,qid746
What is the minimum front setback in the R2a zoning district?,id9,qid747
What is the minimum side setback in the R2a zoning district?,id9,qid748
What is the minimum rear setback in the R2a zoning district?,id9,qid749
What is the maximum building height in the R2a zoning district?,id9,qid750
What is the minimum lot size in the C3 zoning district?,id9,qid751
What is the maximum density in the C3 zoning district?,id9,qid752
What is the minimum lot width in the C3 zoning district?,id9,qid753
What is the minimum lot depth in the C3 zoning district?,id9,qid754
What is the minimum front setback in the C3 zoning district?,id9,qid755
What is the minimum side setback in the C3 zoning district?,id9,qid756
What is the minimum rear setback in the C3 zoning district?,id9,qid757
What is the maximum building height in the C3 zoning district?,id9,qid758
What is the minimum lot size in the A3 zoning district?,id9,qid759
What is the maximum density in the A3 zoning district?,id9,qid760
What is the minimum lot width in the A3 zoning district?,id9,qid761
What is the minimum lot depth in the A3 zoning district?,id9,qid762
What is the minimum front setback in the A3 zoning district?,id9,qid763
What is the minimum side setback in the A3 zoning district?,id9,qid764
What is the minimum rear setback in the A3 zoning district?,id9,qid765
What is the maximum building height in the A3 zoning district?,id9,qid766
What is the minimum lot size in the R3b zoning district?,id9,qid767
What is the maximum density in the R3b zoning district?,id9,qid768
What is the minimum lot width in the R3b zoning district?,id9,qid769
What is the minimum lot depth in the R3b zoning district?,id9,qid770
What is the minimum front setback in the R3b zoning district?,id9,qid771
What is the minimum side setback in the R3b zoning district?,id9,qid772
What is the minimum rear setback in the R3b zoning district?,id9,qid773
What is the maximum building height in the R3b zoning district?,id9,qid774
What is the minimum lot size in the R2b zoning district?,id9,qid775
What is the maximum density in the R2b zoning district?,id9,qid776
What is the minimum lot width in the R2b zoning district?,id9,qid777
What is the minimum lot depth in the R2b zoning district?,id9,qid778
What is the minimum front setback in the R2b zoning district?,id9,qid779
What is the minimum side setback in the R2b zoning district?,id9,qid780
What is the minimum rear setback in the R2b zoning district?,id9,qid781
What is the maximum building height in the R2b zoning district?,id9,qid782
Is the minimum lot size for a property in the R1a zoning district 35000 square feet?,id9,qid783
Is the maximum density for a property in the R1a zoning district 1 dwelling units per acre?,id9,qid784
Is the minimum lot width for a property in the R1a zoning district 125 feet?,id9,qid785
Is the minimum lot depth for a property in the R1a zoning district 150 feet?,id9,qid786
Is the minimum front setback for a property in the R1a zoning district 25 feet?,id9,qid787
Is the minimum side setback for a property in the R1a zoning district 10 feet?,id9,qid788
Is the minimum rear setback for a property in the R1a zoning district 30 feet?,id9,qid789
Is the maximum building height for a property in the R1a zoning district 35 feet?,id9,qid790
Is the minimum lot size for a property in the R1b zoning district 20000 square feet?,id9,qid791
Is the maximum density for a property in the R1b zoning district 2 dwelling units per acre?,id9,qid792
Is the minimum lot width for a property in the R1b zoning district 100 feet?,id9,qid793
Is the minimum lot depth for a property in the R1b zoning district 125 feet?,id9,qid794
Is the minimum front setback for a property in the R1b zoning district 20 feet?,id9,qid795
Is the minimum side setback for a property in the R1b zoning district 10 feet?,id9,qid796
Is the minimum rear setback for a property in the R1b zoning district 25 feet?,id9,qid797
Is the maximum building height for a property in the R1b zoning district 35 feet?,id9,qid798
Is the minimum lot size for a property in the R1c zoning district 10000 square feet?,id9,qid799
Is the maximum density for a property in the R1c zoning district 4 dwelling units per acre?,id9,qid800
Is the minimum lot width for a property in the R1c zoning district 75 feet?,id9,qid801
Is the minimum lot depth for a property in the R1c zoning district 100 feet?,id9,qid802
Is the minimum front setback for a property in the R1c zoning district 20 feet?,id9,qid803
Is the minimum side setback for a property in the R1c zoning district 5 feet?,id9,qid804
Is the minimum rear setback for a property in the R1c zoning district 25 feet?,id9,qid805
Is the maximum building height for a property in the R1c zoning district 35 feet?,id9,qid806
Is the minimum lot size for a property in the R1d zoning district 6000 square feet?,id9,qid807
Is the maximum density for a property in the R1d zoning district 6 dwelling units per acre?,id9,qid808
Is the minimum lot width for a property in the R1d zoning district 60 feet?,id9,qid809
Is the minimum lot depth for a property in the R1d zoning district 90 feet?,id9,qid810
Is the minimum front setback for a property in the R1d zoning district 15 feet?,id9,qid811
Is the minimum side setback for a property in the R1d zoning district 5 feet?,id9,qid812
Is the minimum rear setback for a property in the R1d zoning district 20 feet?,id9,qid813
Is the maximum building height for a property in the R1d zoning district 35 feet?,id9,qid814
Is the minimum lot size for a property in the R2a zoning district 10000 square feet?,id9,qid815
Is the maximum density for a property in the R2a zoning district 4 dwelling units per acre?,id9,qid816
Is the minimum lot width for a property in the R2a zoning district 60 feet?,id9,qid817
Is the minimum lot depth for a property in the R2a zoning district 70 feet?,id9,qid818
Is the minimum front setback for a property in the R2a zoning district 20 feet?,id9,qid819
Is the minimum side setback for a property in the R2a zoning district 5 feet?,id9,qid820
Is the minimum rear setback for a property in the R2a zoning district 20 feet?,id9,qid821
Is the maximum building height for a property in the R2a zoning district 35 feet?,id9,qid822
Is the minimum lot size for a property in the R2b zoning district 6000 square feet?,id9,qid823
Is the maximum density for a property in the R2b zoning district 6 dwelling units per acre?,id9,qid824
Is the minimum lot width for a property in the R2b zoning district 60 feet?,id9,qid825
Is the minimum lot depth for a property in the R2b zoning district 70 feet?,id9,qid826
Is the minimum front setback for a property in the R2b zoning district 15 feet?,id9,qid827
Is the minimum side setback for a property in the R2b zoning district 5 feet?,id9,qid828
Is the minimum rear setback for a property in the R2b zoning district 20 feet?,id9,qid829
Is the maximum building height for a property in the R2b zoning district 35 feet?,id9,qid830
Is the minimum lot size for a property in the R3a zoning district 6000 square feet?,id9,qid831
Is the maximum density for a property in the R3a zoning district 8 dwelling units per acre?,id9,qid832
Is the minimum lot width for a property in the R3a zoning district 60 feet?,id9,qid833
Is the minimum lot depth for a property in the R3a zoning district 70 feet?,id9,qid834
Is the minimum front setback for a property in the R3a zoning district 15 feet?,id9,qid835
Is the minimum side setback for a property in the R3a zoning district 5 feet?,id9,qid836
Is the minimum rear setback for a property in the R3a zoning district 20 feet?,id9,qid837
Is the maximum building height for a property in the R3a zoning district 35 feet?,id9,qid838
Is the minimum lot size for a property in the R3b zoning district 6000 square feet?,id9,qid839
Is the maximum density for a property in the R3b zoning district 12 dwelling units per acre?,id9,qid840
Is the minimum lot width for a property in the R3b zoning district 60 feet?,id9,qid841
Is the minimum lot depth for a property in the R3b zoning district 70 feet?,id9,qid842
Is the minimum front setback for a property in the R3b zoning district 15 feet?,id9,qid843
Is the minimum side setback for a property in the R3b zoning district 5 feet?,id9,qid844
Is the minimum rear setback for a property in the R3b zoning district 20 feet?,id9,qid845
Is the maximum building height for a property in the R3b zoning district 35 feet?,id9,qid846
Is the minimum lot size for a property in the C1 zoning district 6000 square feet?,id9,qid847
Is the maximum density for a property in the C1 zoning district 12 units per acre?,id9,qid848
Is the minimum lot width for a property in the C1 zoning district 30 feet?,id9,qid849
Is the minimum lot depth for a property in the C1 zoning district 70 feet?,id9,qid850
Is the minimum front setback for a property in the C1 zoning district 0 feet?,id9,qid851
Is the minimum side setback for a property in the C1 zoning district 0 feet?,id9,qid852
Is the minimum rear setback for a property in the C1 zoning district 0 feet?,id9,qid853
Is the maximum building height for a property in the C1 zoning district 30 feet?,id9,qid854
Is the minimum lot width for a property in the C2 zoning district 30 feet?,id9,qid855
Is the minimum lot depth for a property in the C2 zoning district 70 feet?,id9,qid856
Is the minimum front setback for a property in the C2 zoning district 0 feet?,id9,qid857
Is the minimum side setback for a property in the C2 zoning district 0 feet?,id9,qid858
Is the minimum rear setback for a property in the C2 zoning district 0 feet?,id9,qid859
Is the maximum building height for a property in the C2 zoning district 40 feet?,id9,qid860
Is the minimum lot width for a property in the C3 zoning district 75 feet?,id9,qid861
Is the minimum lot depth for a property in the C3 zoning district 100 feet?,id9,qid862
Is the minimum front setback for a property in the C3 zoning district 0 feet?,id9,qid863
Is the minimum side setback for a property in the C3 zoning district 0 feet?,id9,qid864
Is the minimum rear setback for a property in the C3 zoning district 0 feet?,id9,qid865
Is the maximum building height for a property in the C3 zoning district 50 feet?,id9,qid866
Is the minimum lot width for a property in the C4 zoning district 75 feet?,id9,qid867
Is the minimum lot depth for a property in the C4 zoning district 100 feet?,id9,qid868
Is the minimum front setback for a property in the C4 zoning district 0 feet?,id9,qid869
Is the minimum side setback for a property in the C4 zoning district 0 feet?,id9,qid870
Is the minimum rear setback for a property in the C4 zoning district 0 feet?,id9,qid871
Is the maximum building height for a property in the C4 zoning district 50 feet?,id9,qid872
Is the minimum lot width for a property in the FI1 zoning district 50 feet?,id9,qid873
Is the minimum lot depth for a property in the FI1 zoning district 75 feet?,id9,qid874
Is the minimum front setback for a property in the FI1 zoning district 0 feet?,id9,qid875
Is the minimum side setback for a property in the FI1 zoning district 0 feet?,id9,qid876
Is the minimum rear setback for a property in the FI1 zoning district 0 feet?,id9,qid877
Is the maximum building height for a property in the FI1 zoning district 60 feet?,id9,qid878
Is the minimum lot width for a property in the FI2 zoning district 75 feet?,id9,qid879
Is the minimum lot depth for a property in the FI2 zoning district 100 feet?,id9,qid880
Is the minimum front setback for a property in the FI2 zoning district 0 feet?,id9,qid881
Is the minimum side setback for a property in the FI2 zoning district 0 feet?,id9,qid882
Is the minimum rear setback for a property in the FI2 zoning district 0 feet?,id9,qid883
Is the maximum building height for a property in the FI2 zoning district 80 feet?,id9,qid884
Is the minimum lot width for a property in the FI3 zoning district 100 feet?,id9,qid885
Is the minimum lot depth for a property in the FI3 zoning district 150 feet?,id9,qid886
Is the minimum front setback for a property in the FI3 zoning district 0 feet?,id9,qid887
Is the minimum side setback for a property in the FI3 zoning district 0 feet?,id9,qid888
Is the minimum rear setback for a property in the FI3 zoning district 0 feet?,id9,qid889
Is the maximum building height for a property in the FI3 zoning district 80 feet?,id9,qid890
Is the minimum lot size for a property in the A1 zoning district 20 acre?,id9,qid891
Is the maximum density for a property in the A1 zoning district 20 acres per dwelling unit?,id9,qid892
Is the minimum lot width for a property in the A1 zoning district 600 feet?,id9,qid893
Is the minimum lot depth for a property in the A1 zoning district 600 feet?,id9,qid894
Is the minimum front setback for a property in the A1 zoning district 30 feet?,id9,qid895
Is the minimum side setback for a property in the A1 zoning district 15 feet?,id9,qid896
Is the minimum rear setback for a property in the A1 zoning district 60 feet?,id9,qid897
Is the maximum building height for a property in the A1 zoning district 35 feet?,id9,qid898
Is the minimum lot size for a property in the A2 zoning district 10 acre?,id9,qid899
Is the maximum density for a property in the A2 zoning district 10 acres per dwelling unit?,id9,qid900
Is the minimum lot width for a property in the A2 zoning district 400 feet?,id9,qid901
Is the minimum lot depth for a property in the A2 zoning district 400 feet?,id9,qid902
Is the minimum front setback for a property in the A2 zoning district 30 feet?,id9,qid903
Is the minimum side setback for a property in the A2 zoning district 15 feet?,id9,qid904
Is the minimum rear setback for a property in the A2 zoning district 60 feet?,id9,qid905
Is the maximum building height for a property in the A2 zoning district 35 feet?,id9,qid906
Is the minimum lot size for a property in the A3 zoning district 5 acre?,id9,qid907
Is the maximum density for a property in the A3 zoning district 5 acres per dwelling unit?,id9,qid908
Is the minimum lot width for a property in the A3 zoning district 250 feet?,id9,qid909
Is the minimum lot depth for a property in the A3 zoning district 250 feet?,id9,qid910
Is the minimum front setback for a property in the A3 zoning district 30 feet?,id9,qid911
Is the minimum side setback for a property in the A3 zoning district 15 feet?,id9,qid912
Is the minimum rear setback for a property in the A3 zoning district 60 feet?,id9,qid913
Is the maximum building height for a property in the A3 zoning district 35 feet?,id9,qid914
Are regional recycling center permitted?,id9,qid915
Are regional recycling center allowed?,id9,qid916
Are public utility stations permitted?,id9,qid917
Are public utility stations allowed?,id9,qid918
Are liquid fertilizer manufacturing permitted?,id9,qid919
Are liquid fertilizer manufacturing allowed?,id9,qid920
Are group care facilities permitted?,id9,qid921
Are group care facilities allowed?,id9,qid922
Are paper manufacturing permitted?,id9,qid923
Are paper manufacturing allowed?,id9,qid924
Are mortuary and funeral homes permitted?,id9,qid925
Are mortuary and funeral homes allowed?,id9,qid926
Are product distribution centers permitted?,id9,qid927
Are product distribution centers allowed?,id9,qid928
Are commercial bakeries permitted?,id9,qid929
Are commercial bakeries allowed?,id9,qid930
Are amusement centers (including bowling alleys golf driving ranges miniature golf courses ice rinks pool and billiard halls and similar recreational uses) permitted?,id9,qid931
Are amusement centers (including bowling alleys golf driving ranges miniature golf courses ice rinks pool and billiard halls and similar recreational uses) allowed?,id9,qid932
Are convenience and neighborhood commercial centers (excluding wholesale sales) permitted?,id9,qid933
Are convenience and neighborhood commercial centers (excluding wholesale sales) allowed?,id9,qid934
Are dwellings permitted?,id9,qid935
Are dwellings allowed?,id9,qid936
Are storage yards permitted?,id9,qid937
Are storage yards allowed?,id9,qid938
Are maintenance/storage buildings permitted?,id9,qid939
Are maintenance/storage buildings allowed?,id9,qid940
Are dry cleaning plants permitted?,id9,qid941
Are dry cleaning plants allowed?,id9,qid942
Are auto-dismantling yards permitted?,id9,qid943
Are auto-dismantling yards allowed?,id9,qid944
Are automotive motor fuel dispensing facilities permitted?,id9,qid945
Are automotive motor fuel dispensing facilities allowed?,id9,qid946
Are commercial printing and publishing permitted?,id9,qid947
Are commercial printing and publishing allowed?,id9,qid948
Are publicly owned and operated parks permitted?,id9,qid949
Are publicly owned and operated parks allowed?,id9,qid950
Are taverns and cocktail lounges permitted?,id9,qid951
Are taverns and cocktail lounges allowed?,id9,qid952
Are manufacture and finishing permitted?,id9,qid953
